Timestamp,LeftBank,RightBank_1,RightBank_2
2024-01-10 14:35:58,85644,76900,86801
2024-01-10 14:37:57,84516,74404,86910
2024-01-10 15:08:14,77844,67660,112500
2024-01-10 15:10:41,82745,75148,111448
2024-01-10 15:41:04,85837,78244,89974
2024-01-10 15:43:09,85092,78716,96381
2024-01-10 16:13:36,83552,74790,87393
2024-01-10 16:15:38,84377,70764,90719
2024-01-10 16:46:01,81804,70348,86320
2024-01-10 16:47:57,85836,74597,87508
2024-01-10 17:18:18,79885,72100,83051
2024-01-10 17:20:12,82188,73252,85058
2024-01-10 17:50:32,66432,59092,85692
2024-01-10 17:51:58,0,0,0
2024-01-10 18:22:17,0,0,0
2024-01-10 18:23:53,0,0,0
2024-01-10 18:54:12,0,0,0
2024-01-10 18:55:45,0,0,0
2024-01-10 19:26:06,0,0,0
2024-01-10 19:27:40,0,0,0
2024-01-10 19:57:59,0,0,0
2024-01-10 19:59:32,0,0,0
2024-01-10 20:29:52,0,0,0
2024-01-10 20:31:32,0,0,0
2024-01-10 21:01:51,0,0,39900
2024-01-10 21:03:29,0,0,22052
2024-01-10 21:33:48,0,0,33940
2024-01-10 21:35:23,0,0,30708
2024-01-10 22:05:43,0,0,0
2024-01-10 22:07:16,0,0,0
2024-01-10 22:37:41,0,0,0
2024-01-10 22:39:14,0,0,0
2024-01-10 23:09:37,0,46904,0
2024-01-10 23:11:14,0,0,30100
2024-01-10 23:41:33,0,0,0
2024-01-10 23:43:10,0,0,0
2024-01-11 00:13:29,0,0,0
2024-01-11 00:15:06,0,0,7828
2024-01-11 00:45:26,0,5112,0
2024-01-11 00:47:04,0,768,0
2024-01-11 01:17:23,0,0,5356
2024-01-11 01:19:01,0,6912,0
2024-01-11 01:49:20,0,0,13100
2024-01-11 01:50:56,0,0,0
2024-01-11 02:21:15,0,0,0
2024-01-11 02:22:57,0,0,0
2024-01-11 02:53:16,0,0,0
2024-01-11 02:54:54,0,0,0
2024-01-11 03:25:13,0,0,0
